index,grupo,tipo_fonte,referencia_apa7,url,acesso,camadas_relacionadas,uso_no_projeto
0,"Projeto, equipe e PRICI",Referência APA 7,"Organização de Estados Ibero-americanos. (2026). *Programa de Rotas e Itinerários Culturais Ibero-americanos, PRICI* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://oei.int/oficinas/secretaria-general/programas/programa-de-cooperacion-interinstitucional-de-rutas-e-itinerarios-culturales-euro-iberoamericanos",https://oei.int/oficinas/secretaria-general/programas/programa-de-cooperacion-interinstitucional-de-rutas-e-itinerarios-culturales-euro-iberoamericanos,6 ago. 2026,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | polos_estruturantes_itinerarios_culturais_250km2 | articulacao_itinerarios_peic_rotas_250km2,"Fonte bibliográfica do grupo Projeto, equipe e PRICI."
1,"Projeto, equipe e PRICI",Referência APA 7,"Organização de Estados Ibero-americanos. (2026). *Declaração da I Reunião do Programa de Rotas e Itinerários Culturais Ibero-americanos, Huelva, 4 de junho de 2026* [Documento ou publicação institucional]. https://oei.int/wp-content/uploads/2023/04/2-prici-declaracao-i-reuniao-do-programa-rotas-culturais-pt-sf.pdf",https://oei.int/wp-content/uploads/2023/04/2-prici-declaracao-i-reuniao-do-programa-rotas-culturais-pt-sf.pdf,6 ago. 2026,rotas_culturais_propostas | pontos_interesse_itinerarios | areas_exploratorias_influencia_cartografica | trechos_itinerarios | pre_avaliacao_cartografica_itinerarios | corredores_exploratorios_aprofundamento | polos_estruturantes_itinerarios_culturais_250km2 | articulacao_itinerarios_peic_rotas_250km2,"Fonte bibliográfica do grupo Projeto, equipe e PRICI."
2,"Projeto, equipe e PRICI",Referência APA 7,"ORCID. (s.d.). *Carlos Busón Buesa, registro ORCID 0000-0002-1446-2252* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://orcid.org/0000-0002-1446-2252",https://orcid.org/0000-0002-1446-2252,6 ago. 2026,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2 | articulacao_itinerarios_peic_rotas_250km2,"Fonte bibliográfica do grupo Projeto, equipe e PRICI."
3,"Projeto, equipe e PRICI",Referência APA 7,"Universidade Estadual de Mato Grosso do Sul. (2026). *Corpo docente do Programa de Pós-Graduação em Desenvolvimento Regional e de Sistemas Produtivos* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.uems.br/ppg/ppgdrs/Corpo-Docente",https://www.uems.br/ppg/ppgdrs/Corpo-Docente,6 ago. 2026,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2 | articulacao_itinerarios_peic_rotas_250km2,"Fonte bibliográfica do grupo Projeto, equipe e PRICI."
4,"Projeto, equipe e PRICI",Referência APA 7,"Universidade Estadual de Mato Grosso do Sul. (2026). *Docentes do curso de Administração da Unidade de Ponta Porã* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.uems.br/cursos/graduacao/administracao-bacharelado-ponta-pora/Docentes",https://www.uems.br/cursos/graduacao/administracao-bacharelado-ponta-pora/Docentes,6 ago. 2026,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2 | articulacao_itinerarios_peic_rotas_250km2,"Fonte bibliográfica do grupo Projeto, equipe e PRICI."
5,"Projeto, equipe e PRICI",Referência APA 7,"ORCID. (s.d.). *Carlos Otávio Zamberlan, registro ORCID 0000-0001-9975-9612* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://orcid.org/0000-0001-9975-9612",https://orcid.org/0000-0001-9975-9612,6 ago. 2026,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2 | articulacao_itinerarios_peic_rotas_250km2,"Fonte bibliográfica do grupo Projeto, equipe e PRICI."
6,"Projeto, equipe e PRICI",Referência APA 7,"ORCID. (s.d.). *Moisés Centenaro, registro ORCID 0000-0003-2299-9102* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://orcid.org/0000-0003-2299-9102",https://orcid.org/0000-0003-2299-9102,6 ago. 2026,rotas_culturais_propostas | indice_exploratorio_disponibilidade_territorial | potencial_geocientifico_territorial_250km2 | polos_estruturantes_itinerarios_culturais_250km2 | articulacao_itinerarios_peic_rotas_250km2,"Fonte bibliográfica do grupo Projeto, equipe e PRICI."
7,"Território, municípios e população",Referência APA 7,"IBGE. (2025). *Malha Municipal Digital 2025, Mato Grosso do Sul* [Conjunto de dados]. https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_municipais/municipio_2025/UFs/MS/MS_Municipios_2025.zip",https://geoftp.ibge.gov.br/organizacao_do_territorio/malhas_territoriais/malhas_municipais/municipio_2025/UFs/MS/MS_Municipios_2025.zip,6 ago. 2026,municipios_limites | limite_operacional_ipg_fase3,"Fonte bibliográfica do grupo Território, municípios e população."
8,"Território, municípios e população",Referência APA 7,"IBGE. (2025). *Estimativas da população residente para os municípios e unidades da Federação* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html",https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,6 ago. 2026,municipios_sedes | localidades_populacoes | limite_operacional_ipg_fase3,"Fonte bibliográfica do grupo Território, municípios e população."
9,"Território, municípios e população",Referência APA 7,"IBGE. (s.d.). *IBGE Cidades e Estados* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://cidades.ibge.gov.br",https://cidades.ibge.gov.br,6 ago. 2026,municipios_sedes | localidades_populacoes | limite_operacional_ipg_fase3,"Fonte bibliográfica do grupo Território, municípios e população."
10,"Território, municípios e população",Referência APA 7,"IBGE. (s.d.). *API de Localidades, municípios brasileiros* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://servicodados.ibge.gov.br/api/docs/localidades",https://servicodados.ibge.gov.br/api/docs/localidades,6 ago. 2026,municipios_sedes | localidades_ibge_completas | limite_operacional_ipg_fase3,"Fonte bibliográfica do grupo Território, municípios e população."
11,"Território, municípios e população",Referência APA 7,"IBGE. (2022). *Localidades do Brasil* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html",https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html,6 ago. 2026,localidades_populacoes | localidades_ibge_completas,"Fonte bibliográfica do grupo Território, municípios e população."
12,"Território, municípios e população",Referência APA 7,IBGE. (2022). *Pacote vetorial Localidades do Brasil por unidades da Federação* [Conjunto de dados]. https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/Localidades_do_Brasil/2022/Localidades_UFs_shp.zip,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/Localidades_do_Brasil/2022/Localidades_UFs_shp.zip,6 ago. 2026,localidades_populacoes | localidades_ibge_completas,"Fonte bibliográfica do grupo Território, municípios e população."
13,"Território, municípios e população",Referência APA 7,"PIN MS e AGRAER. (s.d.). *Estado de Mato Grosso do Sul político, limites municipais* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estado_de_MS_Politico/MapServer/0",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estado_de_MS_Politico/MapServer/0,6 ago. 2026,municipios_limites,"Fonte bibliográfica do grupo Território, municípios e população."
